Metric,Value
ServiceTimeOnPrefetchRatio1,0.0
ServiceTimeSavedRatio1,0.09746634302663737
PeakServiceTimeUsed1,31.53001048968008
PeakServiceTimeSavedRatio1,0.005868710613367356
PeakServiceTimeUtil1,145.97227078555593
PeakServiceTimeUsedWithPut1,33.52240909107866
PeakServiceTimeUsedWithPutUtil1,155.1963383846234
PeakServiceTimeSavedWithPutRatio1,0.0055218308571149954
P50ServiceTimeUsed1,3.745629370628194
P50ServiceTimeUtil1,17.340876715871264
P50ServiceTimeSavedRatio1,0.03920104578003769
P50ServiceTimeUsedWithPut1,4.751736013986232
P50ServiceTimeWithPutUtil1,21.998777842528845
P50ServiceTimeSavedWithPutRatio1,0.03746119998951647
P90ServiceTimeUsed1,5.310068881117242
P90ServiceTimeUtil1,24.583652227394637
P90ServiceTimeSavedRatio1,0.04977394053287931
P90ServiceTimeUsedWithPut1,6.528938111882406
P90ServiceTimeWithPutUtil1,30.226565332788912
P90ServiceTimeSavedWithPutRatio1,0.049189354004561814
P95ServiceTimeUsed1,5.795728146843589
P95ServiceTimeUtil1,26.832074753905506
P95ServiceTimeSavedRatio1,0.050941427387233285
P95ServiceTimeUsedWithPut1,7.187933216776711
P95ServiceTimeWithPutUtil1,33.27746859618848
P95ServiceTimeSavedWithPutRatio1,0.04034448558834991
P99ServiceTimeUsed1,7.4532314335779555
P99ServiceTimeUtil1,34.50570108137942
P99ServiceTimeSavedRatio1,0.05279080517207679
P99ServiceTimeUsedWithPut1,8.674453391604752
P99ServiceTimeWithPutUtil1,40.15950644261459
P99ServiceTimeSavedWithPutRatio1,0.057273593010284785
P99.5ServiceTimeUsed1,7.964050996494213
P99.5ServiceTimeUtil1,36.87060646525098
P99.5ServiceTimeSavedRatio1,0.09871918444590688
P99.5ServiceTimeUsedWithPut1,9.522728601424049
P99.5ServiceTimeWithPutUtil1,44.0867064880743
P99.5ServiceTimeSavedWithPutRatio1,0.12301929418781932
P99.9ServiceTimeUsed1,12.114393398623854
P99.9ServiceTimeUtil1,56.08515462325857
P99.9ServiceTimeSavedRatio1,0.16494458016525415
P99.9ServiceTimeUsedWithPut1,14.737985975547215
P99.9ServiceTimeWithPutUtil1,68.23141655345931
P99.9ServiceTimeSavedWithPutRatio1,0.09655662448961466
P99.99ServiceTimeUsed1,29.588448780573177
P99.99ServiceTimeUtil1,136.98355916932024
P99.99ServiceTimeSavedRatio1,0.013562460669215182
P99.99ServiceTimeUsedWithPut1,31.643966779524277
P99.99ServiceTimeWithPutUtil1,146.49984620150127
P99.99ServiceTimeSavedWithPutRatio1,0.010167149998199121
P99.999ServiceTimeUsed1,31.33585431877118
P99.999ServiceTimeUtil1,145.07339962394065
P99.999ServiceTimeSavedRatio1,0.00660030970945058
P99.999ServiceTimeUsedWithPut1,33.33456485992495
P99.999ServiceTimeWithPutUtil1,154.32668916631923
P99.999ServiceTimeSavedWithPutRatio1,0.005964675750158466
ServiceTimeUsed2,3769.261426572987
ServiceTimeUtil2,17.316314425902643
ServiceTimeUsedOnPut2,3769.261426572987
ServiceTimeOnPutUtil2,17.316314425902643
ServiceTimeOnPrefetchRatio2,0.0
ServiceTimeSavedRatio2,0.09645845817792764
PeakServiceTimeUsed2,31.540500000169686
PeakServiceTimeSavedRatio2,0.005537979654952951
PeakServiceTimeUtil2,146.0208333341189
PeakServiceTimeUsedWithPut2,33.53289860156826
PeakServiceTimeUsedWithPutUtil2,155.2449009331864
PeakServiceTimeSavedWithPutRatio2,0.0052106482938759635
P50ServiceTimeUsed2,3.7510734265729297
P50ServiceTimeUtil2,17.366080678578374
P50ServiceTimeSavedRatio2,0.037804579995293075
P50ServiceTimeUsedWithPut2,4.752610139860423
P50ServiceTimeWithPutUtil2,22.00282472157603
P50ServiceTimeSavedWithPutRatio2,0.03728413205739123
P90ServiceTimeUsed2,5.3115548951035185
P90ServiceTimeUtil2,24.590531921775547
P90ServiceTimeSavedRatio2,0.04950802134310861
P90ServiceTimeUsedWithPut2,6.528938111882406
P90ServiceTimeWithPutUtil2,30.226565332788912
P90ServiceTimeSavedWithPutRatio2,0.049189354004561814
P95ServiceTimeUsed2,5.795728146843589
P95ServiceTimeUtil2,26.832074753905506
P95ServiceTimeSavedRatio2,0.050941427387233285
P95ServiceTimeUsedWithPut2,7.190162237755559
P95ServiceTimeWithPutUtil2,33.28778813775721
P95ServiceTimeSavedWithPutRatio2,0.04004689068734302
P99ServiceTimeUsed2,7.4543328321793645
P99ServiceTimeUtil2,34.51080014897854
P99ServiceTimeSavedRatio2,0.05265083167310225
P99ServiceTimeUsedWithPut2,8.675100244751611
P99ServiceTimeWithPutUtil2,40.162501133109316
P99ServiceTimeSavedWithPutRatio2,0.05720329399368296
P99.5ServiceTimeUsed2,7.964050996494213
P99.5ServiceTimeUtil2,36.87060646525098
P99.5ServiceTimeSavedRatio2,0.09871918444590688
P99.5ServiceTimeUsedWithPut2,9.549673531493754
P99.5ServiceTimeWithPutUtil2,44.2114515346933
P99.5ServiceTimeSavedWithPutRatio2,0.12053784325294159
P99.9ServiceTimeUsed2,12.115830461560929
P99.9ServiceTimeUtil2,56.0918076924117
P99.9ServiceTimeSavedRatio2,0.16484552219720228
P99.9ServiceTimeUsedWithPut2,14.739423038484292
P99.9ServiceTimeWithPutUtil2,68.23806962261246
P99.9ServiceTimeSavedWithPutRatio2,0.09646853206010308
P99.99ServiceTimeUsed2,29.59803304630753
P99.99ServiceTimeUtil2,137.0279307699423
